"person","i","#PRO","/net/gsb/pmb/out/p60/d0800"
"will","'ll","#FUT","/net/gsb/pmb/out/p60/d0800"
"[Theme,Agent]","put","#NIL","/net/gsb/pmb/out/p60/d0800"
"some","some","#DIS","/net/gsb/pmb/out/p60/d0800"
"coffee","coffee","#CON","/net/gsb/pmb/out/p60/d0800"
"on","on","#UNK","/net/gsb/pmb/out/p60/d0800"
".",".","#NIL","/net/gsb/pmb/out/p60/d0800"
"person","i","#PRO","/net/gsb/pmb/out/p60/d0815"
"will","'ll","#FUT","/net/gsb/pmb/out/p60/d0815"
"[Recipient,Topic,Agent]","tell","#NIL","/net/gsb/pmb/out/p60/d0815"
"person","you","#PRO","/net/gsb/pmb/out/p60/d0815"
"person","my","#HAS","/net/gsb/pmb/out/p60/d0815"
"story","story","#CON","/net/gsb/pmb/out/p60/d0815"
".",".","#NIL","/net/gsb/pmb/out/p60/d0815"
"person","we","#PRO","/net/gsb/pmb/out/p60/d0824"
"ought","ought","#NEC","/net/gsb/pmb/out/p60/d0824"
"to","to","#SUB","/net/gsb/pmb/out/p60/d0824"
"obey","obey","#EXS","/net/gsb/pmb/out/p60/d0824"
"the","the","#DEF","/net/gsb/pmb/out/p60/d0824"
"law","law","#CON","/net/gsb/pmb/out/p60/d0824"
".",".","#NIL","/net/gsb/pmb/out/p60/d0824"
"person","i","#PRO","/net/gsb/pmb/out/p60/d0892"
"be","'m","#NOW","/net/gsb/pmb/out/p60/d0892"
"sorry","sorry","#EXX","/net/gsb/pmb/out/p60/d0892"
",",",","#NIL","/net/gsb/pmb/out/p60/d0892"
"but","but","#BUT","/net/gsb/pmb/out/p60/d0892"
"person","i","#PRO","/net/gsb/pmb/out/p60/d0892"
"will","'ll","#FUT","/net/gsb/pmb/out/p60/d0892"
"have","have","#NEC","/net/gsb/pmb/out/p60/d0892"
"to","to","#SUB","/net/gsb/pmb/out/p60/d0892"
"go","go","#EXX","/net/gsb/pmb/out/p60/d0892"
"home","home","#CON","/net/gsb/pmb/out/p60/d0892"
"now","now","#IST","/net/gsb/pmb/out/p60/d0892"
".",".","#NIL","/net/gsb/pmb/out/p60/d0892"
"female","she","#PRO","/net/gsb/pmb/out/p60/d0923"
"leave","left","#PST","/net/gsb/pmb/out/p60/d0923"
"the","the","#DEF","/net/gsb/pmb/out/p60/d0923"
"house","house","#CON","/net/gsb/pmb/out/p60/d0923"
"without","without","#NOT","/net/gsb/pmb/out/p60/d0923"
"say","saying","#EXX","/net/gsb/pmb/out/p60/d0923"
"goodbye","goodbye","#GRE","/net/gsb/pmb/out/p60/d0923"
".",".","#NIL","/net/gsb/pmb/out/p60/d0923"
"person","i","#PRO","/net/gsb/pmb/out/p60/d0942"
"[Theme,Agent]","guess","#NIL","/net/gsb/pmb/out/p60/d0942"
"person","i","#PRO","/net/gsb/pmb/out/p60/d0942"
"will","'ll","#FUT","/net/gsb/pmb/out/p60/d0942"
"be","be","#EXG","/net/gsb/pmb/out/p60/d0942"
"go","going","#EXX","/net/gsb/pmb/out/p60/d0942"
"now","now","#IST","/net/gsb/pmb/out/p60/d0942"
".",".","#NIL","/net/gsb/pmb/out/p60/d0942"
"1","a","#0","/net/gsb/pmb/out/p60/d1135"
"6","tall","#2","/net/gsb/pmb/out/p60/d1135"
"7",",","#6","/net/gsb/pmb/out/p60/d1135"
"26","impeccably-dressed","#8","/net/gsb/pmb/out/p60/d1135"
"32","young","#27","/net/gsb/pmb/out/p60/d1135"
"36","man","#33","/net/gsb/pmb/out/p60/d1135"
"41","with","#37","/net/gsb/pmb/out/p60/d1135"
"43","a","#42","/net/gsb/pmb/out/p60/d1135"
"50","smooth","#44","/net/gsb/pmb/out/p60/d1135"
"55","face","#51","/net/gsb/pmb/out/p60/d1135"
"59","and","#56","/net/gsb/pmb/out/p60/d1135"
"64","high","#60","/net/gsb/pmb/out/p60/d1135"
"76","cheek-bones","#65","/net/gsb/pmb/out/p60/d1135"
"77",",","#76","/net/gsb/pmb/out/p60/d1135"
"85","suavely","#78","/net/gsb/pmb/out/p60/d1135"
"93","reading","#86","/net/gsb/pmb/out/p60/d1135"
"97","his","#94","/net/gsb/pmb/out/p60/d1135"
"105","careful","#98","/net/gsb/pmb/out/p60/d1135"
"106",",","#105","/net/gsb/pmb/out/p60/d1135"
"120","non-committal","#107","/net/gsb/pmb/out/p60/d1135"
"127","speech","#121","/net/gsb/pmb/out/p60/d1135"
"128",".","#127","/net/gsb/pmb/out/p60/d1135"
"nothing","nothing","#NOT","/net/gsb/pmb/out/p60/d1135"
"....","....","#NIL","/net/gsb/pmb/out/p60/d1135"
