"man","None","#None","/net/gsb/pmb/out/p00/d0702"
"Speaker","I","#PRO","/net/gsb/pmb/out/p00/d0818"
"will","'ll","#FUT","/net/gsb/pmb/out/p00/d0827"
"bark","barking","#CON","/net/gsb/pmb/out/p00/d0840"
"06:00","6:00","#CLO","/net/gsb/pmb/out/p00/d0871"
"day","today","#NOW","/net/gsb/pmb/out/p00/d0911"
"male","his","#HAS","/net/gsb/pmb/out/p00/d0956"
"speaker","I","#PRO","/net/gsb/pmb/out/p00/d1013"
"cubic~meter","cubic~meters","#UOM","/net/gsb/pmb/out/p00/d1179"
"cubic~meter","cubic~meters","#UOM","/net/gsb/pmb/out/p00/d1181"
"degree~celsius","degrees~Celsius","#UOM","/net/gsb/pmb/out/p00/d1270"
"500000","half~a~million","#QUC","/net/gsb/pmb/out/p00/d1335"
"16000000","16~Million","#QUC","/net/gsb/pmb/out/p00/d1377"
"792000","792~million","#QUC","/net/gsb/pmb/out/p00/d1377"
"16000000","16~million","#QUC","/net/gsb/pmb/out/p00/d1377"
"14:30","2:30","#CLO","/net/gsb/pmb/out/p00/d1499"
"10:00","ten~o'clock","#CLO","/net/gsb/pmb/out/p00/d1519"
"day","Yesterday","#PST","/net/gsb/pmb/out/p00/d1567"
"day","tomorrow","#FUT","/net/gsb/pmb/out/p00/d1643"
"person","people","#CON","/net/gsb/pmb/out/p00/d1661"
"particular","particularly","#INT","/net/gsb/pmb/out/p00/d1664"
"1000","thousands","#CON","/net/gsb/pmb/out/p00/d1940"
"dance","dancing","#EXG","/net/gsb/pmb/out/p00/d2007"
"14:30","2:30","#CLO","/net/gsb/pmb/out/p00/d2078"
"argentina","Argentinian","#GPO","/net/gsb/pmb/out/p00/d2161"
"00:00","midnight","#CLO","/net/gsb/pmb/out/p00/d2168"
"17:00","5:00","#CLO","/net/gsb/pmb/out/p00/d2210"
"06:50","six-thirty","#CLO","/net/gsb/pmb/out/p00/d2436"
"1","one","#QUC","/net/gsb/pmb/out/p00/d2787"
"recent","recently","#IST","/net/gsb/pmb/out/p00/d2859"
"10:00","10~o'clock","#CLO","/net/gsb/pmb/out/p00/d2873"
